trade_id,bot_id,strategy_id,symbol,asset_class,section,side,qty,acquired_date,acquired_time,disposed_date,disposed_time,cost_basis_usd,proceeds_usd,gross_pnl_usd,holding_period_days,is_long_term,is_section_1256,wash_sale_flag,exit_reason,regime,confluence_score,notes
8624637aa85f,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.51597185,2026-01-02,2026-01-02T14:45:00+00:00,2026-01-02,2026-01-02T15:10:00+00:00,39043.85,38943.85,-100.0,0.0174,False,True,True,stop_hit,orb_breakout,10.0,
2a0eef3fdfb6,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.99604743,2026-01-05,2026-01-05T15:25:00+00:00,2026-01-05,2026-01-05T18:15:00+00:00,25571.77,25472.77,-99.0,0.1181,False,True,True,stop_hit,orb_breakout,10.0,
4c4d334394dc,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.81860835,2026-01-06,2026-01-06T14:45:00+00:00,2026-01-06,2026-01-06T16:05:00+00:00,46756.42,46658.41,-98.01,0.0556,False,True,True,stop_hit,orb_breakout,10.0,
f750b224808b,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,2.21782629,2026-01-07,2026-01-07T14:45:00+00:00,2026-01-07,2026-01-07T15:00:00+00:00,57347.44,57250.41,-97.03,0.0104,False,True,True,stop_hit,orb_breakout,10.0,
6fd94c8fbf56,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.42235262,2026-01-08,2026-01-08T14:45:00+00:00,2026-01-08,2026-01-08T21:35:00+00:00,36482.99,36579.05,-96.06,0.2847,False,True,True,stop_hit,orb_breakout,10.0,
83bb62e17eaa,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,0.81107889,2026-01-09,2026-01-09T15:05:00+00:00,2026-01-09,2026-01-09T15:15:00+00:00,20798.09,20893.19,-95.1,0.0069,False,True,True,stop_hit,orb_breakout,10.0,
7f9eb7467063,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.43346601,2026-01-12,2026-01-12T14:50:00+00:00,2026-01-13,2026-01-13T13:30:00+00:00,37117.45,37305.75,188.3,0.9444,False,True,False,target_hit,orb_breakout,10.0,
306abdc81d9a,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.13310914,2026-01-14,2026-01-14T14:45:00+00:00,2026-01-14,2026-01-14T15:45:00+00:00,29082.66,28890.6,192.06,0.0417,False,True,False,target_hit,orb_breakout,10.0,
7e888bbbd573,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.48652835,2026-01-15,2026-01-15T14:45:00+00:00,2026-01-15,2026-01-15T15:45:00+00:00,38505.17,38407.22,-97.95,0.0417,False,True,True,stop_hit,orb_breakout,10.0,
61cab6986d79,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.66068428,2026-01-16,2026-01-16T14:50:00+00:00,2026-01-16,2026-01-16T15:15:00+00:00,42821.57,42627.63,193.94,0.0174,False,True,False,target_hit,orb_breakout,10.0,
b1b92e34c045,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,2.42940526,2026-01-19,2026-01-19T14:45:00+00:00,2026-01-19,2026-01-19T14:55:00+00:00,61372.85,61471.76,-98.91,0.0069,False,True,True,stop_hit,orb_breakout,10.0,
c3207bba0eca,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.97608658,2026-01-20,2026-01-20T14:50:00+00:00,2026-01-20,2026-01-20T18:30:00+00:00,24723.3,24625.37,-97.92,0.1528,False,True,True,stop_hit,orb_breakout,10.0,
824c202a65c2,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,0.78270173,2026-01-21,2026-01-21T14:45:00+00:00,2026-01-21,2026-01-21T15:50:00+00:00,19752.26,19946.15,193.89,0.0451,False,True,False,target_hit,orb_breakout,10.0,
35c5dfb00546,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.2931802,2026-01-22,2026-01-22T14:45:00+00:00,2026-01-22,2026-01-22T15:45:00+00:00,33072.44,33171.32,-98.88,0.0417,False,True,True,stop_hit,orb_breakout,10.0,
04b4532b97d8,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.28144572,2026-01-23,2026-01-23T14:55:00+00:00,2026-01-23,2026-01-23T15:50:00+00:00,32891.19,33086.97,195.79,0.0382,False,True,False,target_hit,orb_breakout,10.0,
cc49a1ba7403,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.88144926,2026-01-26,2026-01-26T14:45:00+00:00,2026-01-26,2026-01-26T16:30:00+00:00,48552.21,48751.91,199.7,0.0729,False,True,False,target_hit,orb_breakout,10.0,
f101be0cc49a,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.82687354,2026-01-27,2026-01-27T14:50:00+00:00,2026-01-28,2026-01-28T00:05:00+00:00,47567.22,47770.92,203.7,0.3854,False,True,False,target_hit,orb_breakout,10.0,
212d56904e29,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.817991,2026-01-28,2026-01-28T14:45:00+00:00,2026-01-28,2026-01-28T15:35:00+00:00,47722.72,47618.83,-103.89,0.0347,False,True,True,stop_hit,orb_breakout,10.0,
fd75294a36a7,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.24770208,2026-01-29,2026-01-29T14:45:00+00:00,2026-01-29,2026-01-29T15:00:00+00:00,32423.1,32217.41,205.69,0.0104,False,True,False,target_hit,orb_breakout,10.0,
902e160d6921,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.0342569,2026-01-30,2026-01-30T14:55:00+00:00,2026-01-30,2026-01-30T15:45:00+00:00,26711.75,26816.66,-104.9,0.0347,False,True,True,stop_hit,orb_breakout,10.0,
e6a5658b0cb1,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,BUY,1.32902998,2026-02-02,2026-02-02T14:45:00+00:00,2026-02-02,2026-02-02T15:15:00+00:00,34215.88,34423.59,207.71,0.0208,False,True,False,target_hit,orb_breakout,10.0,
5934e255c13c,mnq_futures,mnq_orb_v1,MNQ1,futures,6781,SELL,1.22262012,2026-02-03,2026-02-03T14:50:00+00:00,2026-02-03,2026-02-03T15:10:00+00:00,31445.79,31233.93,211.86,0.0139,False,True,False,target_hit,orb_breakout,10.0,
